ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0002023640-24-000001	101	Blackstone Life Sciences VI L.P.	/s/ Julie Constable	Julie Constable	Chief Compliance Officer	2024-12-17
0002048470-24-000001	101	Phyxd, Inc.	/s/ Richard Sullivan	Richard Sullivan	CEO	2024-12-17
0002048822-24-000001	101	GID INDUSTRIAL TACTICAL IRETI-B LP	/S/ RENE CIRC	RENE CIRC	PRESIDENT OF THE INVESTMENT MANAGER OF THE ISSUER	2024-12-17
0002048824-24-000001	101	GID INDUSTRIAL TACTICAL IRETI-A LP	/S/ RENE CIRC	RENE CIRC	PRESIDENT OF THE INVESTMENT MANAGER OF THE ISSUER	2024-12-17
0002048059-24-000003	101	ParaFi Digital Opportunities International LP	Benjamin Forman	Benjamin Forman	Managing Member of the Manager of the General Partner	2024-12-17
0002045889-24-000001	101	Strategic Value Special Situations Lux Feeder Fund VI SCSp	LEWIS SCHWARTZ	LEWIS SCHWARTZ	CFO OF THE SOLE MEMBER OF THE GP OF THE ISSUER	2024-12-17
0001838156-24-000001	101	TRANSFORMATION VENTURES, LLC	/S/ ERIK BROOKS	ERIK BROOKS	AUTHORIZED SIGNATORY	2024-12-17
0001899888-24-000001	101	Harrison Street Infrastructure Fund T, L.P.	/s/ Christopher N. Merrill	Christopher N. Merrill	Manager of the General Partner	2024-12-17
0002045893-24-000001	101	Strategic Value Special Situations Feeder Fund VI, L.P.	LEWIS SCHWARTZ	LEWIS SCHWARTZ	CFO OF THE GENERAL PARTNER OF THE ISSUER	2024-12-17
0002003814-24-000001	101	Dirt Capital Partners 2023, LLC	/s/ Jacob Israelow	Jacob Israelow	Authorized Person	2024-12-17
0002039986-24-000001	101	259 22nd Street LLC	Val Katayev	Val Katayev	President	2024-12-17
0002048659-24-000001	101	BAM Multifamily Growth Fund V LLC	/s/ Ivan Barratt	Ivan Barratt	Managing Member of the Issuer's Manager	2024-12-17
0002011413-24-000004	101	Unity Growth Series Fund LLC - Fund 005	Abhiram Appalaneni	Abhiram Appalaneni	Manager Representative of Issuer's Manager	2024-12-17
0001141488-24-000001	101	JOLIET SURGERY CENTER LIMITED PARTNERSHIP	/s/ Meagan O. Davis	Meagan O. Davis	Attorney for Issuer	2024-12-17
0001877291-24-000008	101	VWR Capital Corp.	Mike Reddy	Mike Reddy	CFO	2024-12-11
0001062993-24-020751	101	Westward Gold Inc.	/s/ Colin Moore	Colin Moore	President, CEO and Director	2024-12-16
0002048928-24-000001	101	SWC ERM AI CO C a Series of SLRTE I LLC	/s/Shriank Kanaparti	Shriank Kanaparti	General Manager of the Administrator	2024-12-17
0002048741-24-000001	101	WAGMI 131 - WAGMI Master LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-17
0002036031-24-000002	101	xE RE Debt Fund I, LP	Phillip Dotzinski	Phillip Dotzinski	Corporate Secretary	2024-12-17
0002003793-24-000003	101	Equitybee 22-42761, a Series of Equitybee cFund Master LLC	Devin Rivera	Devin Rivera	Manager	2024-12-17
0002048972-24-000001	101	VESEY STREET CAPITAL PARTNERS CO-INVEST FUND V-A, L.P.	/S/ ADAM FEINSTEIN	ADAM FEINSTEIN	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2024-12-17
0002048738-24-000001	101	WAGMI 132 - WAGMI Master LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-17
0002047714-24-000001	101	VESEY STREET CAPITAL PARTNERS CO-INVEST FUND V, L.P.	/S/ ADAM FEINSTEIN	ADAM FEINSTEIN	MANAGING MEMBER OF THE GP OF THE GP OF THE ISSUER	2024-12-17
0002003793-24-000002	101	Equitybee 22-41235, a Series of Equitybee cFund Master LLC	Devin Rivera	Devin Rivera	Manager	2024-12-17
0002045897-24-000001	101	Strategic Value Special Situations Fund VI, L.P.	LEWIS SCHWARTZ	LEWIS SCHWARTZ	CFO OF THE DIRECTOR OF THE GP OF THE ISSUER	2024-12-17
0002048737-24-000001	101	WAGMI 133 - WAGMI Master LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-17
0001493152-24-050380	101	Siddhi SPV XV LLC	/s/ Amy Salerno	Amy Salerno	Authorized Signatory	2024-12-17
0002048765-24-000001	101	National Basketball Fund 1 LP	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-17
0001957992-24-000001	101	AUDIO UP INC.	Jared Gutstadt	Jared Gutstadt	Chief Executive Officer	2024-12-17
0002036031-24-000001	101	xE MF Equity Fund I, LLC	Phillip Dotzinski	Phillip Dotzinski	Corporate Secretary	2024-12-17
0002048971-24-000001	101	Woodford Horizontal Project 79 LLC	/s/ Chris Wise	Chris Wise	Manager of the Manager	2024-12-17
0001841356-24-000496	101	Linqto Liquidshares LLC	David Paul	David Paul	CHIEF FINANCIAL OFFICER	2024-12-17
0002047978-24-000001	101	Gold Star Asset Management Fund LP	Xin Yan	Xin Yan	Managing Member	2024-12-16
0002045113-24-000002	101	GenLogs Series A Preferred Oct 2024 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of the Administrator	2024-12-17
0002048363-24-000001	101	CLCS Aggregation Fund, L.P.	Daniel J. McNally	Daniel J. McNally	Vice President of the GP of the Issuer's GP	2024-12-17
0001980223-24-000005	101	NexPoint Life Sciences II DST	/s/Brian Mitts	Brian Mitts	Authorized Signatory of the Issuer	2024-12-17
0001841356-24-000495	101	Linqto Liquidshares LLC	David Paul	David Paul	CHIEF FINANCIAL OFFICER	2024-12-17
0002044159-24-000002	101	CD&R Opal Co-Investor, L.P.	/s/ Rima Simson	Rima Simson	Vice President, Treasurer and Secretary of GP of GP	2024-11-06
0001841356-24-000494	101	Linqto Liquidshares LLC	David Paul	David Paul	CHIEF FINANCIAL OFFICER	2024-12-17
0002048760-24-000002	101	Bulletpitch Plus 6 a Series of 1528 Invest LLC	/s/Shriank Kanaparti	Shriank Kanaparti	General Manager of the Administrator	2024-12-17
0002003055-24-000004	101	Daniel Zevulun Capital Management LP	DANIEL KULLMAN	DANIEL KULLMAN	CEO	2024-12-17
0002003767-24-000001	101	TAD (NOVA) Co-Invest, L.P.	/s/ Scott L. Dalrymple	Scott L. Dalrymple	Senior Vice President of General Partner	2024-12-17
0002046653-24-000001	101	CNG 2024 APS STATION, LLC	MARK A. ROBERTSON	MARK A. ROBERTSON	MANAGER	2024-12-17
0001841356-24-000493	101	Linqto Liquidshares LLC	David Paul	David Paul	CHIEF FINANCIAL OFFICER	2024-12-17
0002003370-24-000001	101	TAD PF-1 (US), L.P.	/s/ Scott L. Dalrymple	Scott L. Dalrymple	Senior Vice President of General Partner	2024-12-17
0001841356-24-000492	101	Linqto Liquidshares LLC	David Paul	David Paul	CHIEF FINANCIAL OFFICER	2024-12-17
0001993633-24-000011	101	JWCM Republic Alamo Heights, DST	/s/ Jason Warsavsky	Jason Warsavsky	President of the Sponsor of the Issuer	2024-12-17
0002045932-24-000002	101	CP Fit, LP	Brian D. Milovich	Brian D. Milovich	Manager of the GP of the Manager of the Manager of issuer.	2024-12-17
0002048760-24-000001	101	SWC PPLX D a Series of SLRTE I LLC	/s/Shriank Kanaparti	Shriank Kanaparti	General Manager of the Administrator	2024-12-17
0001856459-24-000003	101	Cart.com, Inc.	Omair Tariq	Omair Tariq	Chief Executive Officer	2024-12-17
0001841356-24-000491	101	Linqto Liquidshares LLC	David Paul	David Paul	CHIEF FINANCIAL OFFICER	2024-12-17
0001841356-24-000490	101	Linqto Liquidshares LLC	David Paul	David Paul	CHIEF FINANCIAL OFFICER	2024-12-17
0002048949-24-000001	101	Canary Data Inc.	/s/ Joseph O'Donnell	Joseph O'Donnell	Chief Executive Officer	2024-12-17
0002008245-24-000006	101	Integral Ventures, L.P.	/s/ Stephanie Sher	Stephanie Sher	Managing Member of the General Partner	2024-12-17
0002047631-24-000001	101	Barrel Stock Investment Fund 19, LLC	/s/ Daniel Patrick Hogan	Daniel Patrick Hogan	Manager of the Manager of the Issuer	2024-12-17
0002048927-24-000001	101	SIG MREIT I, LLC	DAVID HIRSCHFELD	DAVID HIRSCHFELD	MANAGER OF MANAGING MEMBER OF GP OF MEMBER OF ISSUER	2024-12-17
0001376474-24-000738	101	SMTP Energy, LLC	/s/ Michael A. Parsons	Michael A. Parsons	Managing Member	2024-12-12
0002048862-24-000001	101	Forest Timber Fund L.P.	Stephen O'Connor	Stephen O'Connor	Chief Compliance Officer of the Investment Manager	2024-12-17
0001776640-24-000001	101	IceCap Strong Dollar Fund LP	Brent Johnson	Brent Johnson	Managing Member of Santiago Capital, LLC	2024-12-17
0001900961-24-000001	101	Mustang Fund LP	Tyler Resch	Tyler Resch	Managing Member of the General Partner of the Issuer	2024-12-17
0002031522-24-000009	101	NexPoint Small Bay II DST	/s/Brian Mitts	Brian Mitts	Authorized Signatory of the Issuer	2024-12-17
0002045784-24-000006	101	India Challenger Fund, LP	Lokesh Sharma	Lokesh Sharma	Manager	2024-12-17
0002018472-24-000002	101	Kubhera India Infrastructure Fund LP	Venkat Krishnaswamy	Venkat Krishnaswamy	Managing Member	2024-12-17
0002047819-24-000002	101	MRV Lansdale Partners, LLC	Erik Hugus	Erik Hugus	Managing Member of Managing Member of Issuer	2024-12-17
0000904454-24-000651	101	FMR LLC	LISA D. KRIESER	LISA D. KRIESER	SECRETARY	2024-12-17
0002046349-24-000001	101	MVP Opportunity Fund VI LLC Series 24F QP	/s/ Eric Brachfeld	Eric Brachfeld	Manager, MVP Manager LLC, its Manager	2024-12-17
0001946926-24-000001	101	Vistria Fund V, LP	JESSE H. RUIZ	JESSE H. RUIZ	AUTHORIZED PERSON	2024-12-16
0001946926-24-000001	102	Vistria Fund V (FT), LP	JESSE H. RUIZ	JESSE H. RUIZ	AUTHORIZED PERSON	2024-12-16
0001946926-24-000001	103	Vistria Fund V Feeder, LP	JESSE H. RUIZ	JESSE H. RUIZ	AUTHORIZED PERSON	2024-12-16
0002045784-24-000005	101	Evolve Wealth Accumulator Liquidity Fund, LP	Sanjay Bhatia	Sanjay Bhatia	Manager	2024-12-15
0002048358-24-000001	101	Barings Specialty Private Debt Fund 1, a sub-fund of Barings Umbrella Fund (LUX) SCSp SICAV-RAIF	Alan Behen	Alan Behen	Director of the AIFM of the Issuer	2024-12-17
0002044708-24-000001	101	Sons of Perdition Ltd Liability Co	Anne Garefino	Anne Garefino	President of Garefino, Inc., Managing Member	2024-12-17
0002048032-24-000001	101	Barings Segregated Direct Lending Fund 4, a sub-fund of Barings Umbrella Fund (LUX) SCSp SICAV-RAIF	Alan Behen	Alan Behen	Director of the AIFM of the Issuer	2024-12-17
0002048597-24-000001	101	Ardian Secondaries Access Fund IX, L.P.	/s/ Gail Wygoda	Gail Wygoda	Authorized Signatory of the Sole Member of the Administrator	2024-12-17
0002048381-24-000001	101	ACE Capital SPV I LP	W. David Tompkins, Jr.	W. David Tompkins, Jr.	Managing Member	2024-12-16
0002048979-24-000002	101	Manulife Nicola Co-Investment Partners, L.P.	/s/ Thomas Zakian	Thomas Zakian	CEO of the Issuer's Manager	2024-12-17
0002048820-24-000001	101	SHaD Momentum, LLC	Carolyn Gonzales	Carolyn Gonzales	Attorney in Fact	2024-12-17
0002048231-24-000001	101	TB CO-INVEST OPPORTUNITIES (NIGHTINGALE) II, L.P.	/S/ LEE M. MITCHELL	LEE M. MITCHELL	MNG PARTNER OF THE MNG MBR OF THE GP OF THE GP OF THE ISSUER	2024-12-17
0000919574-24-007161	101	PARADIGM CAPITAL VALUE LP	/s/ Rupert Tyer	Rupert Tyer	Director/Partner	2024-12-17
0002004733-24-000001	101	EARNEST PARTNERS GLOBAL FUND	Carsten Fiege	Carsten J. Fiege	COO of Investment Manager	2024-12-17
0001562374-24-000001	101	Earnest Partners China Fund (A Separate Series of the Earnest Series Investment Trust)	Carsten Fiege	Carsten J. Fiege	COO of Investment Manager	2024-12-17
0002048761-24-000001	101	Tor Asia Credit Opportunity Master Fund IV LP	/s/ James Gerard Sweeney	James Gerard Sweeney	Member of the GP	2024-12-17
0001546520-24-000001	101	Earnest International Investment Trust Fund	Carsten Fiege	Carsten J. Fiege	COO of Investment Manager	2024-12-17
0002048702-24-000001	101	Pascal Medical Corp	/s/ Barbara Dale Boyan	Barbara Dale Boyan	Chief Executive Officer	2024-12-17
0001545671-24-000001	101	Earnest Emerging Markets Investment Trust Fund	Carsten Fiege	Carsten J. Fiege	COO of Investment Manager	2024-12-17
0001438810-24-000001	101	EARNEST INTERNATIONAL POOLED GROUP TRUST	Carsten J Fiege	Carsten J. Fiege	COO of Investment Manager	2024-12-17
0002048770-24-000002	101	Tor Asia Credit Opportunity Fund IV LP	/s/ James Gerard Sweeney	James Gerard Sweeney	Member of the GP	2024-12-17
0001995628-24-000002	101	ARMADILLO HOME SOLUTIONS, INC.	/s/ Matan Slagter	Matan Slagter	Chief Executive Officer	2024-12-17
0001257734-24-000001	101	LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT Z	/s/Carolyn Augur	Carolyn Augur	Assistant Vice President	2024-12-17
0001878646-24-000032	101	Twende Sports Inc.	/s/Colin Rasmussen	Colin Rasmussen	Chief Executive Officer	2024-12-17
0001887610-24-000001	101	Big Game Sport, Inc.	Richard J. Lesniak	Richard J. Lesniak	President	2024-12-09
0002048945-24-000001	101	ASYM Investments Fund, LP	Mackenzie Mackie	Mackenzie Mackie	Managing Member of the Managing Member of the Issuer	2024-12-17
0002048968-24-000001	101	Plexiform Bioscience Inc.	Kamran A Chaudri	Kamran A Chaudri	Officer	2024-12-17
0002045784-24-000004	101	Triple V Partners, LP	Richard Westmark	Richard Westmark	Manager	2024-12-13
0002042309-24-000005	101	Advanced Fund 24-3	Richard Julian	Richard Julian	President of AG24-3, Inc., General Partner	2024-12-17
0002048791-24-000001	101	VALIANT SHADOW CREEK II, LLC	/S/ DOUGLAS VANDER WEIDE	DOUGLAS VANDER WEIDE	MANAGING MEMBER	2024-12-12
0002048800-24-000001	101	Rothstein Ventures Cuby Series B - Allocations Funds LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-17
0001820377-24-000001	101	HCEP Offshore Fund	FANG CAO	FANG CAO	DIRECTOR	2024-12-17
0002045784-24-000003	101	Three Haven Capital, LP	Rocco Addante	Rocco Addante	Manager	2024-12-16
0002048747-24-000001	101	BZH Atidan Ventures VI, a series of Atomizer LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-17
0001820361-24-000001	101	HCEP Onshore Fund	FANG CAO	FANG CAO	DIRECTOR	2024-12-17
0002008210-24-000011	101	NexPoint Life Sciences III DST	/s/Brian Mitts	Brian Mitts	Authorized Signatory of the Issuer	2024-12-17
0002047335-24-000001	101	Infinitas Capital SPV IV a series of Infinitas Capital Master LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-17
0001989747-24-000001	101	HW Tobin Hill Fund, LP	/s/ George J. Wommack	George J. Wommack	Chief executive officer of the general partner	2024-12-17
0002047330-24-000001	101	Korify Capital SPV IV a series of Infinitas Capital Master LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-17
0002048568-24-000002	101	Herrnhut Holdings LLC	Byron Elliott	Byron Elliott	Attorney	2024-12-17
0001013594-24-001015	101	Allostery Offshore Fund Ltd.	/s/ Christopher Staral	Christopher Staral	Principal of the Investment Manager of the Issuer	2024-12-17
0000849919-24-000001	101	MARK PARTNERS	/s/ Kevin Burinescu	Kevin Burinescu	Secretary and Chief Financial Officer of the General Partner	2024-12-17
0000919574-24-007159	101	CC Lambda Holdings V, LLC	/s/Todd Lee	Todd Lee	Chief Compliance Officer	2024-12-17
0002048044-24-000001	101	Between The Coasts Ventures Fund I, LP	Landon Ainge	Landon Ainge	Managing Partner of the Manager of the General Partner	2024-12-17
0002048622-24-000002	101	Alchemy TopCo, LLC	Alex Johnson	Alex Johnson	Manager	2024-12-17
0002048905-24-000001	101	Green Light Pet Hospital Plantation, LLC	Fabrizio Spinelli	Fabrizio Spinelli	Manager	2024-12-17
0001946648-24-000001	101	Chargezoom Inc.	Matthew Dubois	Matthew Dubois	Chief Executive Officer	2024-12-17
0002048622-24-000001	101	Alchemy Sponsor Member Aggregator, LLC	Alex Johnson	Alex Johnson	Vice President	2024-12-17
0001968050-24-000002	101	Lobster Capital Fund I, LP	Gabriel Jarrosson	Gabriel Jarrosson	Managing Partner of the Manager of the General Partner	2024-12-17
0001882985-24-000002	101	OurCrowd (Investment in Intellect) L.P.	Caleb Chill	Caleb Chill	Chief Compliance Officer	2024-12-16
0001897631-24-000001	101	OurCrowd (Investment in Fly) L.P.	Cali Chill	Caleb Chill	Chief Compliance Officer	2024-12-17
0002048939-24-000001	101	Beech Landing Partners, LLC	Daniel D. Hamrin	Daniel D. Hamrin	Counsel	2024-12-17
0001211348-24-000002	101	SURGERY CENTER AT SOUTHWOODS LLC	/s/ Edward W. Muransky	Edward W. Muransky	Manager of Muransky, LLC, the Class B Member of the Issuer	2024-12-12
0001393725-24-000207	101	Chaac Ventures Fund III, LP	/s/ Luke Armour	Luke Armour	Manager of the General Partner of the Issuer	2024-12-17
0001734989-24-000001	101	Ecovia Renewables Inc.	/s/ Kousay Said	Kousay Said	Chief Executive Officer	2024-12-17
0002048159-24-000001	101	Bond Street Investment Trust, Inc.	Michael Reynolds	Michael Reynolds	Manager	2024-12-17
0000950172-24-000466	101	GoodFinch Fund V, LP	/s/ TANGUY SERRA	TANGUY SERRA	MANAGER OF THE GENERAL PARTNER OF THE ISSUER	2024-12-17
0002045423-24-000002	101	JLLX Diversified VIII, DST	/s/ Gregory A. Falk	Gregory A. Falk	Executive Vice President of the Signatory Trustee	2024-12-17
0002047355-24-000001	101	EIV V Coinvestment, LP	/s/ Jill Stamets	Jill Stamets	CFO of the GP of the Issuer	2024-12-17
0001868866-24-000001	101	SILVER HAMMER MINING CORP	/s/ Peter Ball	Peter Ball	President, CEO and Director	2024-12-17
0000950172-24-000465	101	GoodFinch Fund V (Offshore), LP	/s/ TANGUY SERRA	TANGUY SERRA	MANAGER OF THE GENERAL PARTNER OF THE ISSUER	2024-12-17
0000929638-24-004253	101	Nest Veterinary, Inc.	/s/ Ishani Gujral	Ishani Gujral	Co-Chief Executive Officer	2024-12-16
0002048259-24-000001	101	Vixiv Inc	Massimo Vancheri	Massimo Vancheri	Corporate Secretary	2024-12-17
0002036837-24-000002	101	Diligence Performance Financials Fund I, LP	Daniel Lee	Daniel Lee	Manager	2024-12-17
0001592057-24-000039	101	Enviva, LLC	/s/ Jason E. Paral	Jason E. Paral	Executive Vice President, Chief Legal Officer, and Secretary	2024-12-17
0002048897-24-000001	101	Westworth Capital Champions Pointe LLC	Oluwadamilola Fadipe	Oluwadamilola Fadipe	Manager of Manager	2024-12-17
0001588911-24-000001	101	Mark Equity Opportunities Fund L.P.	/s/ Kevin Burinescu	Kevin Burinescu	Secretary and Chief Financial Officer of the General Partner	2024-12-17
0001620058-24-000001	101	Steamboat Capital Partners Offshore Fund, Ltd.	/s/ Parsa Kiai	Parsa Kiai	Director of Issuer	2024-12-17
0001890792-24-000001	101	AM Batteries, Inc.	LIE SHI	Lie Shi	Director	2024-12-17
0001376474-24-000737	101	Chaplin Movie Productions, Inc.	/s/ Robert I. Taormina	Robert I. Taormina	Manager	2024-12-17
0001566114-24-000106	101	Worthington Convergence Fund LP	/s/ Steve Sansom	Steve Sansom	Manager of the General Partner	2024-12-17
0000945621-24-000999	101	Valkyrie Topco, LLC	/s/ Ethan Michaeli	Ethan Michaeli	Treasurer	2024-12-14
0001955312-24-000001	101	Syncromune, Inc.	/s/ Eamonn Hobbs	Eamonn Hobbs	Chief Executive Officer	2024-12-16
0001946128-24-000003	101	MJ Real Estate Investment Trust	Christopher Reece	Christopher Reece	Authorized Signatory	2024-12-17
0002032684-24-000002	101	VE-0730 Fund I, a series of Climate Collective, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-17
0002023953-24-000002	101	FO-0409 Fund I, a series of Roll Up Vehicles, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-17
0001727689-24-000154	101	Cabral Gold Inc.	/s/ Samantha Shorter	Samantha Shorter	Chief Financial Officer	2024-12-16
0001526730-24-000003	101	Son of EWF, LLC	Eddie Eddins	Eddie Eddins	Sr VP, Davenport & Company LLC (manager)	2024-12-16
0001998556-24-000001	101	Blue Owl GP Stakes VI EU Investors SCSp	Neena Reddy	Neena Reddy	General Counsel and Secretary of the GP of the Issuer	2024-12-16
0001997229-24-000001	101	Blue Owl GP Stakes VI US Investors LP	Neena Reddy	Neena Reddy	General Counsel and Secretary of the GP of the Issuer	2024-12-16
0002043396-24-000001	101	Gaingels Settle LLC	/s/ Paul Grossinger	Paul Grossinger	Manager Gaingels Management LLC, Manager	2024-12-16
0001802130-24-000001	101	CoinFund Liquid Opportunities LP	Seth Ginns	Seth Ginns	Managing Member of CoinFund Liquid Opportunities GP LLC	2024-12-16
0002048898-24-000001	101	Riverside Resorts, LLC	george dass	George Dass	Corporate Secretary	2024-12-16
